id,date,username,content,url
1317877444079087619,2020-10-18 17:17:22+00:00,SherriMM28,AZ is not open like @dougducey says!!  Help us... @realDonaldTrump @RepAndyBiggsAZ @KellyTownsend11 @DebbieLesko @kelliwardaz cut the federal funding &amp; force Ducey to open our state! #OpenAZ #UnmaskOurKids #UnMaskArizona https://t.co/WoeE3tHURj,https://twitter.com/SherriMM28/status/1317877444079087619
1315480706936520705,2020-10-12 02:33:35+00:00,AmberIJohnson,"https://t.co/M3Jnn3Z2Ev
#saveourchildren #unmaskourkids #freedom https://t.co/31y5iXPz6C",https://twitter.com/AmberIJohnson/status/1315480706936520705
1313255959217799168,2020-10-05 23:13:14+00:00,red_pilled_lady,@SenMikeShirkey @GovWhitmer Please do something to stop her or this crap will never end. She is truly evil. #unmaskmichigan #unmaskourkids,https://twitter.com/red_pilled_lady/status/1313255959217799168
1313217331867377664,2020-10-05 20:39:44+00:00,red_pilled_lady,"@SenMikeShirkey For the love of all that is good, help us #unmaskourkids. The schools think Gretch still has dictator powers 😡😡😡",https://twitter.com/red_pilled_lady/status/1313217331867377664
1312940179523502081,2020-10-05 02:18:26+00:00,sherryrazor,DA Acts On Mercury Fillings; FL Open!; Moms On Masks; Dr Arrested In UK Speaks Out; ICAN Sues Again @delbigtree: ultimate act of #Covid rebellion. #AtlasSmackdown #Fauci #MaskMandates #UnmaskOurKids #MomsOnMasks #UKProtests #FreeHeiko #ICAN #VarivaxLawsuit https://t.co/iEJ2xPpnFE,https://twitter.com/sherryrazor/status/1312940179523502081
1312921745695875072,2020-10-05 01:05:11+00:00,kas1017,@GovMikeDeWine @WarrenCoHealth really seems like kids are spreading this virus right? Have you tried tracking strep? It’s spreading more than COVID FYI. #unmaskourkids #stopthemaddness https://t.co/aJfdnA61VV,https://twitter.com/kas1017/status/1312921745695875072
1312738733389570055,2020-10-04 12:57:58+00:00,galts1teaparty,More data that masks are worthless. Stay strong @realDonaldTrump #UnMaskAmerica #UnMaskOurKids https://t.co/Rit6gXQWJC,https://twitter.com/galts1teaparty/status/1312738733389570055
1312457907233939456,2020-10-03 18:22:04+00:00,galts1teaparty,and schools have been in-person for weeks. As all of this happens the virus will continue to run its course with and without masks and the only thing that matters are hospitalizations. The end. #UnMaskAmerica #UnMaskOurKids,https://twitter.com/galts1teaparty/status/1312457907233939456
1312060314435956736,2020-10-02 16:02:10+00:00,DCJanarchy,A DEBATE WORTH WATCHING - The Highwire - FDA Acts On Mercury Fillings; Florida Open!; Moms On Masks; Doctor Arrested In UK Speaks Out; ICAN Sues Again! #AtlasSmackdown #Fauci #MaskMandates #UnmaskOurKids #MomsOnMasks #UKProtests #FreeHeiko... https://t.co/z5pstUT5bO,https://twitter.com/DCJanarchy/status/1312060314435956736
1311857089178816512,2020-10-02 02:34:37+00:00,galts1teaparty,@dougducey It is time to #UnMaskAZ and to #UnMaskOurKids https://t.co/7tiedauPkU,https://twitter.com/galts1teaparty/status/1311857089178816512
